firstname,lastname,birthmonth,birthday,birthyear,course,phonenumber,,,Birth's Per Month,,Birth's Per Day,,Birth's Per Year,,Person's Per Course,,Globe or Smart,,,
name1,lastname1,November,26,98,BS Legal Management,639183026210.00,918.30,918,January,270,1,112,97,756,BS Comtech,589,917,993,Globe,1973
name2,lastname2,May,26,1,BS Management,639183026210.00,918.30,918,February,232,2,106,98,746,BS IT Entrepreneurship,590,927,980,Globe,
name3,lastname3,May,16,97,BS Comtech,639183026210.00,918.30,918,March,246,3,90,99,756,BS Legal Management,585,918,1027,Smart,
name4,lastname4,December,9,97,BS IT Entrepreneurship,639183026210.00,918.30,918,April,267,4,110,0,380,BS Management,629,,3000,,
name5,lastname5,September,5,97,BS Comtech,639183026210.00,918.30,918,May,273,5,100,1,362,BS Management Engineering,607,,,,
name6,lastname6,March,2,99,BS Management,639183026210.00,918.30,918,June,259,6,99,,3000,,3000,,,,
name7,lastname7,November,10,98,BS Legal Management,639183026210.00,918.30,918,July,249,7,88,,,,,,,,
name8,lastname8,August,28,99,BS Management Engineering,639183026210.00,918.30,918,August,241,8,111,,,,,,,,
name9,lastname9,July,10,97,BS Management Engineering,639183026210.00,918.30,918,September,232,9,98,,,,,,,,
name10,lastname10,September,14,1,BS Comtech,639183026210.00,918.30,918,October,178,10,111,,,,,,,,
name11,lastname11,December,8,98,BS Legal Management,639183026210.00,918.30,918,November,277,11,105,,,,,,,,
name12,lastname12,May,4,97,BS Management Engineering,639183026210.00,918.30,918,December,276,12,98,,,,,,,,
name13,lastname13,January,28,99,BS Comtech,639183026210.00,918.30,918,,3000,13,119,,,,,,,,
name14,lastname14,January,11,99,BS Management,639183026210.00,918.30,918,,,14,102,,,,,,,,
name15,lastname15,June,6,98,BS IT Entrepreneurship,639183026210.00,918.30,918,,,15,121,,,,,,,,
name16,lastname16,April,20,99,BS Legal Management,639183026210.00,918.30,918,,,16,115,,,,,,,,
name17,lastname17,January,3,97,BS IT Entrepreneurship,639183026210.00,918.30,918,,,17,116,,,,,,,,
name18,lastname18,April,8,97,BS Management,639183026210.00,918.30,918,,,18,107,,,,,,,,
name19,lastname19,December,28,97,BS IT Entrepreneurship,639183026210.00,918.30,918,,,19,113,,,,,,,,
name20,lastname20,March,10,97,BS Management Engineering,639183026210.00,918.30,918,,,20,91,,,,,,,,
name21,lastname21,July,13,99,BS Legal Management,639183026210.00,918.30,918,,,21,123,,,,,,,,
name22,lastname22,September,15,99,BS IT Entrepreneurship,639183026210.00,918.30,918,,,22,103,,,,,,,,
name23,lastname23,April,15,97,BS Management,639183026210.00,918.30,918,,,23,116,,,,,,,,
name24,lastname24,October,1,97,BS Management Engineering,639183026210.00,918.30,918,,,24,108,,,,,,,,
name25,lastname25,May,6,97,BS Management Engineering,639183026210.00,918.30,918,,,25,116,,,,,,,,
name26,lastname26,December,5,99,BS Management Engineering,639183026210.00,918.30,918,,,26,116,,,,,,,,
name27,lastname27,March,4,97,BS Comtech,639183026210.00,918.30,918,,,27,102,,,,,,,,
name28,lastname28,November,10,0,BS Legal Management,639183026210.00,918.30,918,,,28,104,,,,,,,,
name29,lastname29,October,10,99,BS Legal Management,639183026210.00,918.30,918,,,29,0,,,,,,,,
name30,lastname30,May,28,99,BS Comtech,639183026210.00,918.30,918,,,30,0,,,,,,,,
name31,lastname31,April,6,99,BS IT Entrepreneurship,639183026210.00,918.30,918,,,31,0,,,,,,,,
name32,lastname32,July,16,99,BS Management,639183026210.00,918.30,918,,,,3000,,,,,,,,
name33,lastname33,December,17,99,BS IT Entrepreneurship,639183026210.00,918.30,918,,,,,,,,,,,,
name34,lastname34,October,4,99,BS Legal Management,639183026210.00,918.30,918,,,,,,,,,,,,
name35,lastname35,July,14,1,BS IT Entrepreneurship,639183026210.00,918.30,918,,,,,,,,,,,,
name36,lastname36,December,11,98,BS Management,639183026210.00,918.30,918,,,,,,,,,,,,
name37,lastname37,February,2,0,BS Management,639183026210.00,918.30,918,,,,,,,,,,,,
name38,lastname38,August,25,1,BS Legal Management,639183026210.00,918.30,918,,,,,,,,,,,,
name39,lastname39,May,3,97,BS Management Engineering,639183026210.00,918.30,918,,,,,,,,,,,,
name40,lastname40,February,27,98,BS Legal Management,639183026210.00,918.30,918,,,,,,,,,,,,
name41,lastname41,November,16,99,BS Management,639183026210.00,918.30,918,,,,,,,,,,,,
name42,lastname42,September,24,98,BS Legal Management,639183026210.00,918.30,918,,,,,,,,,,,,
name43,lastname43,January,13,99,BS Management,639183026210.00,918.30,918,,,,,,,,,,,,
name44,lastname44,February,25,98,BS IT Entrepreneurship,639183026210.00,918.30,918,,,,,,,,,,,,
name45,lastname45,January,27,97,BS Management Engineering,639183026210.00,918.30,918,,,,,,,,,,,,
name46,lastname46,December,24,98,BS Management Engineering,639183026210.00,918.30,918,,,,,,,,,,,,
name47,lastname47,August,23,99,BS Management,639183026210.00,918.30,918,,,,,,,,,,,,
name48,lastname48,April,13,99,BS IT Entrepreneurship,639183026210.00,918.30,918,,,,,,,,,,,,
name49,lastname49,October,11,97,BS Legal Management,639183026210.00,918.30,918,,,,,,,,,,,,
name50,lastname50,March,25,1,BS Legal Management,639183026210.00,918.30,918,,,,,,,,,,,,
name51,lastname51,August,22,98,BS IT Entrepreneurship,639183026210.00,918.30,918,,,,,,,,,,,,
name52,lastname52,March,21,99,BS Comtech,639183026210.00,918.30,918,,,,,,,,,,,,
name53,lastname53,December,15,0,BS Management,639183026210.00,918.30,918,,,,,,,,,,,,
name54,lastname54,July,10,98,BS Comtech,639183026210.00,918.30,918,,,,,,,,,,,,
name55,lastname55,May,8,98,BS Management Engineering,639183026210.00,918.30,918,,,,,,,,,,,,
name56,lastname56,September,9,98,BS Management Engineering,639183026210.00,918.30,918,,,,,,,,,,,,
name57,lastname57,May,9,1,BS Comtech,639183026210.00,918.30,918,,,,,,,,,,,,
name58,lastname58,April,6,97,BS Management Engineering,639183026210.00,918.30,918,,,,,,,,,,,,
name59,lastname59,April,24,98,BS IT Entrepreneurship,639183026210.00,918.30,918,,,,,,,,,,,,
name60,lastname60,August,26,99,BS IT Entrepreneurship,639183026210.00,918.30,918,,,,,,,,,,,,
name61,lastname61,September,8,98,BS Comtech,639183026210.00,918.30,918,,,,,,,,,,,,
name62,lastname62,December,7,0,BS IT Entrepreneurship,639183026210.00,918.30,918,,,,,,,,,,,,
name63,lastname63,February,22,0,BS Management Engineering,639183026210.00,918.30,918,,,,,,,,,,,,
name64,lastname64,November,13,97,BS IT Entrepreneurship,639183026210.00,918.30,918,,,,,,,,,,,,
name65,lastname65,March,23,97,BS Management Engineering,639183026210.00,918.30,918,,,,,,,,,,,,
name66,lastname66,September,24,97,BS Legal Management,639183026210.00,918.30,918,,,,,,,,,,,,
name67,lastname67,December,9,97,BS Comtech,639183026210.00,918.30,918,,,,,,,,,,,,
name68,lastname68,November,4,1,BS Management,639183026210.00,918.30,918,,,,,,,,,,,,
name69,lastname69,November,19,98,BS Comtech,639183026210.00,918.30,918,,,,,,,,,,,,
name70,lastname70,May,12,98,BS Legal Management,639183026210.00,918.30,918,,,,,,,,,,,,
name71,lastname71,August,19,99,BS Comtech,639183026210.00,918.30,918,,,,,,,,,,,,
name72,lastname72,December,1,99,BS Management,639183026210.00,918.30,918,,,,,,,,,,,,
name73,lastname73,June,21,98,BS Management Engineering,639183026210.00,918.30,918,,,,,,,,,,,,
name74,lastname74,October,25,97,BS Legal Management,639183026210.00,918.30,918,,,,,,,,,,,,
name75,lastname75,September,17,98,BS IT Entrepreneurship,639183026210.00,918.30,918,,,,,,,,,,,,
name76,lastname76,February,2,97,BS Comtech,639183026210.00,918.30,918,,,,,,,,,,,,
name77,lastname77,May,19,0,BS Comtech,639183026210.00,918.30,918,,,,,,,,,,,,
name78,lastname78,September,15,0,BS Management,639183026210.00,918.30,918,,,,,,,,,,,,
name79,lastname79,December,23,0,BS Legal Management,639183026210.00,918.30,918,,,,,,,,,,,,
name80,lastname80,August,10,99,BS Comtech,639183026210.00,918.30,918,,,,,,,,,,,,
name81,lastname81,February,1,97,BS Comtech,639183026210.00,918.30,918,,,,,,,,,,,,
name82,lastname82,November,22,97,BS Comtech,639183026210.00,918.30,918,,,,,,,,,,,,
name83,lastname83,June,18,0,BS Management Engineering,639183026210.00,918.30,918,,,,,,,,,,,,
name84,lastname84,February,28,99,BS IT Entrepreneurship,639183026210.00,918.30,918,,,,,,,,,,,,
name85,lastname85,January,10,99,BS Legal Management,639183026210.00,918.30,918,,,,,,,,,,,,
name86,lastname86,November,21,98,BS Management,639183026210.00,918.30,918,,,,,,,,,,,,
name87,lastname87,August,15,98,BS IT Entrepreneurship,639183026210.00,918.30,918,,,,,,,,,,,,
name88,lastname88,January,26,97,BS Management Engineering,639183026210.00,918.30,918,,,,,,,,,,,,
name89,lastname89,March,26,98,BS IT Entrepreneurship,639183026210.00,918.30,918,,,,,,,,,,,,
name90,lastname90,March,15,99,BS IT Entrepreneurship,639183026210.00,918.30,918,,,,,,,,,,,,
name91,lastname91,August,16,97,BS IT Entrepreneurship,639183026210.00,918.30,918,,,,,,,,,,,,
name92,lastname92,December,8,97,BS Management Engineering,639183026210.00,918.30,918,,,,,,,,,,,,
name93,lastname93,June,14,98,BS IT Entrepreneurship,639183026210.00,918.30,918,,,,,,,,,,,,
name94,lastname94,November,24,97,BS Legal Management,639183026210.00,918.30,918,,,,,,,,,,,,
name95,lastname95,September,6,1,BS Comtech,639183026210.00,918.30,918,,,,,,,,,,,,
name96,lastname96,March,16,99,BS Comtech,639183026210.00,918.30,918,,,,,,,,,,,,
name97,lastname97,January,19,97,BS Management,639183026210.00,918.30,918,,,,,,,,,,,,
name98,lastname98,January,10,98,BS IT Entrepreneurship,639183026210.00,918.30,918,,,,,,,,,,,,
name99,lastname99,May,12,98,BS Comtech,639183026210.00,918.30,918,,,,,,,,,,,,
name100,lastname100,May,10,99,BS Management,639183026210.00,918.30,918,,,,,,,,,,,,
name101,lastname101,April,2,97,BS Comtech,639183026210.00,918.30,918,,,,,,,,,,,,
name102,lastname102,August,14,1,BS Legal Management,639183026210.00,918.30,918,,,,,,,,,,,,
name103,lastname103,December,16,0,BS Management Engineering,639183026210.00,918.30,918,,,,,,,,,,,,
name104,lastname104,July,16,1,BS Comtech,639183026210.00,918.30,918,,,,,,,,,,,,
name105,lastname105,March,5,99,BS IT Entrepreneurship,639183026210.00,918.30,918,,,,,,,,,,,,
name106,lastname106,August,25,97,BS Comtech,639183026210.00,918.30,918,,,,,,,,,,,,
name107,lastname107,April,21,1,BS Management,639183026210.00,918.30,918,,,,,,,,,,,,
name108,lastname108,May,14,99,BS Management,639183026210.00,918.30,918,,,,,,,,,,,,
name109,lastname109,August,15,98,BS Management Engineering,639183026210.00,918.30,918,,,,,,,,,,,,
name110,lastname110,January,8,99,BS Management Engineering,639183026210.00,918.30,918,,,,,,,,,,,,
name111,lastname111,December,22,1,BS Management Engineering,639184011101.00,918.40,918,,,,,,,,,,,,
name112,lastname112,May,19,97,BS Management,639184699048.00,918.47,918,,,,,,,,,,,,
name113,lastname113,May,27,97,BS IT Entrepreneurship,639173895698.00,917.39,917,,,,,,,,,,,,
name114,lastname114,August,22,99,BS Comtech,639179466274.00,917.95,917,,,,,,,,,,,,
name115,lastname115,March,26,98,BS IT Entrepreneurship,639172368755.00,917.24,917,,,,,,,,,,,,
name116,lastname116,July,19,97,BS IT Entrepreneurship,639182691384.00,918.27,918,,,,,,,,,,,,
name117,lastname117,January,11,97,BS Legal Management,639189532016.00,918.95,918,,,,,,,,,,,,
name118,lastname118,February,4,99,BS Management Engineering,639187521689.00,918.75,918,,,,,,,,,,,,
name119,lastname119,December,27,97,BS Legal Management,639272593515.00,927.26,927,,,,,,,,,,,,
name120,lastname120,February,3,97,BS Legal Management,639187322042.00,918.73,918,,,,,,,,,,,,
name121,lastname121,March,5,0,BS Legal Management,639181371929.00,918.14,918,,,,,,,,,,,,
name122,lastname122,March,1,1,BS Legal Management,639178985495.00,917.90,917,,,,,,,,,,,,
name123,lastname123,April,23,99,BS Legal Management,639184792283.00,918.48,918,,,,,,,,,,,,
name124,lastname124,February,2,99,BS Management,639174288800.00,917.43,917,,,,,,,,,,,,
name125,lastname125,November,24,98,BS Legal Management,639176418280.00,917.64,917,,,,,,,,,,,,
name126,lastname126,June,4,0,BS Legal Management,639272729008.00,927.27,927,,,,,,,,,,,,
name127,lastname127,March,3,0,BS Legal Management,639172183720.00,917.22,917,,,,,,,,,,,,
